,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_category_spec,eo_model_name,operation_start_date,evaluated_operation_finish_date,sap_system_status,sap_user_status,year,qty_by_end_of_year,qty_in
121,100000043618,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,КМПН,2022.0,1.0,
122,100000043642,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,КМПН,2022.0,1.0,
123,100000043664,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,КМПН,2022.0,1.0,
124,100000043721,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,,2022.0,1.0,
125,100000043750,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,,2022.0,1.0,
126,100000043423,,,,,,,,,,,,,,
127,100000043447,,,,,,,,,,,,,,
128,100000043470,,,,,,,,,,,,,,
129,100000043493,,,,,,,,,,,,,,
130,100000043515,,,,,,,,,,,,,,
131,100000043571,,,,,,,,,,,,,,
132,100000043693,,,,,,,,,,,,,,
133,100000079668,1100.0,component,"АО ""Полюс Красноярск""",,,,,2021-05-02,2033-05-02 00:00:00,ПВЕО,КМПН,2022.0,1.0,
134,100000098889,1100.0,component,"АО ""Полюс Красноярск""",,,,,2018-09-23,2030-09-23 00:00:00,ПВЕО,,2022.0,1.0,
135,100000099577,,,,,,,,,,,,,,
136,100000099579,,,,,,,,,,,,,,
137,100000099581,,,,,,,,,,,,,,
138,100000099585,,,,,,,,,,,,,,
139,100000099583,,,,,,,,,,,,,,
140,100000067189,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Гидравлические экскаваторы с объемом ковша 15-17 м3,Экскаваторы PC3000-6,2009-11-30,2023-01-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
141,100000039710,1100.0,component,"АО ""Полюс Красноярск""",,,,,2018-04-02,2030-04-02 00:00:00,ПВЕО,КМПН,2022.0,1.0,
142,100000059278,1100.0,component,"АО ""Полюс Красноярск""",,,,,2014-12-31,2026-12-31 00:00:00,ПВЕО,РЕЗР,2022.0,1.0,
143,100000056959,,,,,,,,,,,,,,
144,100000056960,,,,,,,,,,,,,,
145,100000056961,,,,,,,,,,,,,,
146,100000063332,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Гидравлические экскаваторы с объемом ковша 15-17 м3,Экскаваторы PC3000-6,2011-06-25,2023-01-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
147,100000059236,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-10-17,2028-10-17 00:00:00,ПВЕО,,2022.0,1.0,
148,100000039840,1100.0,component,"АО ""Полюс Красноярск""",,,,,2018-03-19,2030-03-19 00:00:00,ПВЕО,КМПН,2022.0,1.0,
149,100000039760,1100.0,component,"АО ""Полюс Красноярск""",,,,,2011-06-25,2023-06-25 00:00:00,ПВЕО,КМПН,2022.0,1.0,
150,100000039801,1100.0,component,"АО ""Полюс Красноярск""",,,,,2011-06-25,2023-06-25 00:00:00,ПВЕО,КМПН,2022.0,1.0,
151,100000098877,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,,2022.0,1.0,
152,100000063334,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Гидравлические экскаваторы с объемом ковша 6-7 м3,Экскаваторы PC1250-7,2015-01-31,2026-07-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
153,100000039761,,,,,,,,,,,,,,
154,100000039802,,,,,,,,,,,,,,
155,100000039841,,,,,,,,,,,,,,
156,100000095327,1100.0,component,"АО ""Полюс Красноярск""",,,,,2021-11-24,2033-11-24 00:00:00,ПВЕО,КМПН,2022.0,1.0,
157,100000098872,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,,2022.0,1.0,
158,100000063337,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Гидравлические экскаваторы с объемом ковша 6-7 м3,Экскаваторы PC1250-8,2017-12-31,2027-07-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
159,100000039712,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-12-31,2029-12-31 00:00:00,ПВЕО,,2022.0,1.0,
160,100000039762,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-12-31,2029-12-31 00:00:00,ПВЕО,,2022.0,1.0,
161,100000039803,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-12-31,2029-12-31 00:00:00,ПВЕО,,2022.0,1.0,
162,100000039842,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-12-31,2029-12-31 00:00:00,ПВЕО,,2022.0,1.0,
163,100000098870,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,,2022.0,1.0,
164,100000026774,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Гидравлические экскаваторы с объемом ковша 6-7 м3,Экскаваторы PC1250-8,2020-01-20,2031-01-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
165,100000039727,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-01-20,2032-01-20 00:00:00,ПВЕО,,2022.0,1.0,
166,100000039768,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-01-20,2032-01-20 00:00:00,ПВЕО,,2022.0,1.0,
167,100000039809,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-01-20,2032-01-20 00:00:00,ПВЕО,,2022.0,1.0,
168,100000039677,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-01-20,2032-01-20 00:00:00,ПВЕО,,2022.0,1.0,
169,100000098891,1100.0,component,"АО ""Полюс Красноярск""",,,,,2018-09-23,2030-09-23 00:00:00,ПВЕО,,2022.0,1.0,
170,100000063338,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 18-35 м3,Экскаваторы WK-20,2017-09-08,2029-09-08 00:00:00,УСТН,СИНХ,2022.0,1.0,
171,100000059234,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-10-17,2028-10-17 00:00:00,ПВЕО,,2022.0,1.0,
172,100000043724,1100.0,component,"АО ""Полюс Красноярск""",,,,,2021-08-26,2033-08-26 00:00:00,ПВЕО,,2022.0,1.0,
173,100000043752,1100.0,component,"АО ""Полюс Красноярск""",,,,,2021-08-26,2033-08-26 00:00:00,ПВЕО,,2022.0,1.0,
174,100000053333,,,,,,,,,,,,,,
175,100000053334,,,,,,,,,,,,,,
176,100000053766,,,,,,,,,,,,,,
177,100000053767,,,,,,,,,,,,,,
178,100000095253,1100.0,component,"АО ""Полюс Красноярск""",,,,,2021-02-18,2033-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
179,100000053324,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-09-08,2029-09-08 00:00:00,ПВЕО,КМПН,2022.0,1.0,
180,100000053746,,,,,,,,,,,,,,
181,100000053313,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-09-08,2029-09-08 00:00:00,ПВЕО,КМПН,2022.0,1.0,
182,100000053314,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-09-08,2029-09-08 00:00:00,ПВЕО,КМПН,2022.0,1.0,
183,100000053750,,,,,,,,,,,,,,
184,100000053751,,,,,,,,,,,,,,
185,100000053747,,,,,,,,,,,,,,
186,100000043425,,,,,,,,,,,,,,
187,100000043544,,,,,,,,,,,,,,
188,100000043573,,,,,,,,,,,,,,
189,100000043695,,,,,,,,,,,,,,
190,100000054866,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 18-35 м3,Экскаваторы WK-20,2021-02-18,2033-02-18 00:00:00,УСТН,СИНХ,2022.0,1.0,
191,100000056976,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
192,100000056205,1100.0,component,"АО ""Полюс Красноярск""",,,,,2021-02-18,2033-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
193,100000056963,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
194,100000056964,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
195,100000056965,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
196,100000056966,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
197,100000056977,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
198,100000056978,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
