,be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,evaluated_operation_finish_date,id
562,1200.0,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D9R,03-RUD-UVSP-BZ02,1402,100000009140,head,2021-09-10,12,2033-09-10 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-31,3147
567,1200.0,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D9R,03-RUD-UVSP-BZ03,1403,100000009141,head,2012-05-30,12,2024-05-30 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-31,3151
569,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UVSP-BZ03,1403,100000021407,component,2020-03-27,12,2032-03-27 00:00:00.000000,2023-03-27,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-27,3153
574,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UVSP-BZ04,1404,100000010219,component,2013-06-29,12,2025-06-29 00:00:00.000000,2023-06-29,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-06-29,3156
575,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UVSP-BZ04,1404,100000010221,component,2013-06-29,12,2025-06-29 00:00:00.000000,2023-06-29,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-06-29,3157
580,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UVSP-BZ05,1405,100000010222,component,2013-04-29,12,2025-04-29 00:00:00.000000,2023-04-29,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-29,3161
599,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UVSP-BZ09,1406,100000021379,component,2020-04-01,12,2032-04-01 00:00:00.000000,2023-03-31,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-31,3179
601,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UVSP-BZ09,1406,100000021380,component,2020-04-01,12,2032-04-01 00:00:00.000000,2023-04-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-01,3181
645,1400.0,"АО ""Полюс Магадан""",E02_03,Станки буровые ударно-вращательного бур.,Станок буровой DML HP 1450,05-KAR-UBVR-HP02,10,100000084459,head,2018-08-01,12,2030-08-01 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3299
666,1400.0,"АО ""Полюс Магадан""",E02_03,Станки буровые ударно-вращательного бур.,Станок буровой DML HP 1450,05-KAR-UBVR-HP07,3,100000084456,head,2013-02-28,12,2025-02-28 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3308
701,1400.0,"АО ""Полюс Магадан""",E02_03,Станки буровые ударно-вращательного бур.,Станок буровой FlexiROC D66,05-KAR-UBVR-SP01,1,100000084449,head,2012-11-18,12,2024-11-18 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3327
706,1400.0,"АО ""Полюс Магадан""",E02_03,Станки буровые ударно-вращательного бур.,Станок буровой FlexiROC D69,05-KAR-UBVR-SP02,2,100000084450,head,2012-11-25,12,2024-11-25 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3332
859,1400.0,"АО ""Полюс Магадан""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA900-3HL,05-KAR-UOGR-PF03,2,100000084435,head,2012-08-31,12,2024-08-31 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3467
881,1400.0,"АО ""Полюс Магадан""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA900-3HL,05-KAR-UOGR-PF07,6,100000084437,head,2013-06-30,12,2025-06-30 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3486
886,1400.0,"АО ""Полюс Магадан""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA900-3HL,05-KAR-UOGR-PF08,7,100000084438,head,2013-09-30,12,2025-09-30 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3491
1130,1400.0,"АО ""Полюс Магадан""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,05-KAR-UTTR-K703,11,100000084394,head,2013-07-31,12,2025-07-31 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3598
1154,1400.0,"АО ""Полюс Магадан""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,05-KAR-UTTR-K706,3,100000084386,head,2012-08-01,12,2024-08-01 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3622
1177,1400.0,"АО ""Полюс Магадан""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,05-KAR-UTTR-K709,6,100000084389,head,2013-03-31,12,2025-03-31 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3641
1185,1400.0,"АО ""Полюс Магадан""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,05-KAR-UTTR-K710,7,100000084390,head,2013-04-30,12,2025-04-30 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-12-31,3649
1256,1400.0,"АО ""Полюс Магадан""",,,,05-KAR-UTTR-K807,19,100000090271,component,2018-06-30,12,2030-06-30 00:00:00.000000,2023-06-30,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-06-30,3718
1287,1400.0,"АО ""Полюс Магадан""",,,,05-KAR-UTTR-K812,24,100000090272,component,2018-06-30,12,2030-06-30 00:00:00.000000,2023-06-30,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-06-30,3750
1296,1400.0,"АО ""Полюс Магадан""",,,,05-KAR-UTTR-K813,25,100000090269,component,2018-06-30,12,2030-06-30 00:00:00.000000,2023-06-30,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-06-30,3759
1297,1400.0,"АО ""Полюс Магадан""",,,,05-KAR-UTTR-K813,25,100000090270,component,2018-06-30,12,2030-06-30 00:00:00.000000,2023-06-30,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-06-30,3760
1301,1400.0,"АО ""Полюс Магадан""",,,,05-KAR-UTTR-K814,26,100000096698,component,2018-06-30,12,2030-06-30 00:00:00.000000,2023-06-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-06-30,3764
