,be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,evaluated_operation_finish_date,id
2544,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC84,536,100000038597,component,2011-07-31,12,2023-07-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-07-31,909
2547,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC84,536,100000038458,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,912
3401,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 777F,11-RUD-CGTR-SEBT-CF03,138,100000065594,head,2008-10-20,12,2020-10-20 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,1674
3455,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 777F,11-RUD-CGTR-SEBT-CF11,146,100000065603,head,2012-06-04,12,2024-06-04 00:00:00.000000,2023-07-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-07-01,,2023-07-01,1701
3464,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 777F,11-RUD-CGTR-SEBT-CF12,147,100000065604,head,2012-06-04,12,2024-06-04 00:00:00.000000,2023-07-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-07-01,,2023-07-01,1708
3474,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 777F,11-RUD-CGTR-SEBT-CF13,148,100000065605,head,2012-06-04,12,2024-06-04 00:00:00.000000,2023-07-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-07-01,,2023-07-01,1717
3483,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 777F,11-RUD-CGTR-SEBT-CF14,149,100000065893,head,2012-06-04,12,2024-06-04 00:00:00.000000,2023-07-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-07-01,,2023-07-01,1722
3740,1100.0,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,11-RUD-CGTR-SETT-UCTT-BZ47,38,100000058898,head,2012-05-28,12,2024-05-28 00:00:00.000000,2023-04-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-04-01,1934
3877,1100.0,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 450FS,11-RUD-CGTR-SETT-UCTT-EX18,04,100000030461,head,2011-11-05,12,2023-11-05 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-11-05,2057
3878,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UCTT-EX18,04,100000039735,component,2011-11-05,12,2023-11-05 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-05,2058
3879,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UCTT-EX18,04,100000039776,component,2011-11-05,12,2023-11-05 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-05,2059
3880,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UCTT-EX18,04,100000039815,component,2011-11-05,12,2023-11-05 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-05,2060
3888,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UCTT-LF07,26,100000044012,component,2011-02-07,12,2023-02-07 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-07,2066
3889,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UCTT-LF07,26,100000044013,component,2011-02-07,12,2023-02-07 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-07,2067
3890,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UCTT-LF07,26,100000044014,component,2011-02-07,12,2023-02-07 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-07,2068
3946,1100.0,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,11-RUD-CGTR-SETT-UCTT-LF21,37,100000058937,head,2013-04-05,12,2025-04-05 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-03-01,2117
3952,1100.0,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,11-RUD-CGTR-SETT-UCTT-LF22,39,100000058924,head,2012-09-17,12,2024-09-17 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-03-01,2120
3969,1100.0,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,11-RUD-CGTR-SETT-UCTT-LF25,502,100000059033,head,2015-10-17,12,2027-10-17 00:00:00.000000,2024-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-07-01,,2023-07-01,2136
4005,1100.0,"АО ""Полюс Красноярск""",E05_01,Бульдозеры колесные,Бульдозер К-703МА,11-RUD-CGTR-SETT-UDOT-BZ01,14,100000062742,head,2010-08-30,12,2022-08-30 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-12-31,,2023-12-31,2167
4009,1100.0,"АО ""Полюс Красноярск""",E05_01,Бульдозеры колесные,Бульдозер К-703МА,11-RUD-CGTR-SETT-UDOT-BZ02,15,100000065965,head,2010-08-10,12,2022-08-10 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-12-31,,2023-12-31,2171
4025,1100.0,"АО ""Полюс Красноярск""",E05_01,Бульдозеры колесные,Бульдозер WD600-3,11-RUD-CGTR-SETT-UDOT-BZ05,25,100000065953,head,2007-12-20,12,2019-12-20 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-12-31,,2023-12-31,2188
4185,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UDST-BZ04,16,100000045113,component,2011-10-30,12,2023-10-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-10-30,2333
4186,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UDST-BZ04,16,100000045114,component,2011-10-30,12,2023-10-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-10-30,2334
4187,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UDST-BZ04,16,100000045115,component,2011-10-30,12,2023-10-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-10-30,2335
4210,1100.0,"АО ""Полюс Красноярск""",E06_01,Автогрейдеры,Автогрейдер ГС-25,11-RUD-CGTR-SETT-UDST-OS03,21,100000065907,head,2011-10-19,12,2023-10-19 00:00:00.000000,2023-02-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-02-01,2356
4212,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UDST-OS03,21,100000045178,component,2011-10-19,12,2023-10-19 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-10-19,2357
4213,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SETT-UDST-OS03,21,100000045179,component,2011-10-19,12,2023-10-19 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-10-19,2358
4226,1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-VOST-UGVS-E102,08,100000062744,head,1998-04-01,12,2010-04-01 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,2367
4248,1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-VOST-UGVS-E103,09,100000062745,head,1998-04-01,12,2010-04-01 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,2375
4270,1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-VOST-UGVS-E104,10,100000062746,head,1999-04-01,12,2011-04-01 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,2377
4313,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043578,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2380
4314,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043648,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2381
4315,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043265,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-31,2382
4316,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043294,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-31,2383
4317,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043322,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-31,2384
4318,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043350,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-31,2385
4319,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043377,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-31,2386
4320,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043601,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2387
4321,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043625,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2388
4322,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043701,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-31,2389
4323,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043729,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-31,2390
4325,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043405,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2392
4326,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043430,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2393
4327,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043453,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2394
4328,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043476,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2395
4329,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043499,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2396
4330,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043521,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2397
4331,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043550,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2398
4332,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E109,24,100000043672,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-31,2399
4334,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043579,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2401
4335,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043266,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-30,2402
4336,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043295,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-30,2403
4337,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043323,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-30,2404
4338,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043351,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-30,2405
4339,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043378,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-30,2406
4340,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043602,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2407
4341,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043626,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2408
4342,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043649,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2409
