be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,qty at 31.12.2022,in 2022,out 2022,qty at 31.12.2023,in 2023,out 2023
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043541,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.266028,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043570,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.271242,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,АГИТО,100000098863,component,2017-07-14,12.0,2029-07-14 00:00:00,,operation,2022-06-17 11:42:53.734505,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-BLAG-UGBL-E103,32,100000063336,head,2017-02-28,12.0,2029-02-28 00:00:00,2033-07-01,operation,2022-06-17 11:42:40.607448,УСТН,СИНХ,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043596,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.577158,ПВЕО,КМПН,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043287,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.553204,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043315,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.558134,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043344,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.563120,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043371,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.567827,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043399,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.572528,ПВЕО,,,,1,0,0,1,0,0
